"region";"hustyp";"2015"
"1081 Ronneby";"specialbostäder";903
"1082 Karlshamn";"småhus";8772
"1082 Karlshamn";"flerbostadshus";6399
"1082 Karlshamn";"övriga hus";261
"1082 Karlshamn";"specialbostäder";677
"1083 Sölvesborg";"småhus";5494
"1083 Sölvesborg";"flerbostadshus";2244
"1083 Sölvesborg";"övriga hus";149
"1083 Sölvesborg";"specialbostäder";214
"1214 Svalöv";"småhus";4423
"1214 Svalöv";"flerbostadshus";1144
"1214 Svalöv";"övriga hus";67
"1214 Svalöv";"specialbostäder";227
"1230 Staffanstorp";"småhus";6338
"1230 Staffanstorp";"flerbostadshus";2785
"1230 Staffanstorp";"övriga hus";136
"1230 Staffanstorp";"specialbostäder";36
"1231 Burlöv";"småhus";3041
"1231 Burlöv";"flerbostadshus";3908
"1231 Burlöv";"övriga hus";92
"1231 Burlöv";"specialbostäder";222
"1233 Vellinge";"småhus";11107
"1233 Vellinge";"flerbostadshus";2275
"1233 Vellinge";"övriga hus";88
"1233 Vellinge";"specialbostäder";321
"1256 Östra Göinge";"småhus";4478
"1256 Östra Göinge";"flerbostadshus";1720
"1256 Östra Göinge";"övriga hus";97
"1256 Östra Göinge";"specialbostäder";214
"1257 Örkelljunga";"småhus";3315
"1257 Örkelljunga";"flerbostadshus";1191
"1257 Örkelljunga";"övriga hus";97
"1257 Örkelljunga";"specialbostäder";135
"1260 Bjuv";"småhus";4543
"1260 Bjuv";"flerbostadshus";1621
"1260 Bjuv";"övriga hus";39
"1260 Bjuv";"specialbostäder";153
"1261 Kävlinge";"småhus";8837
"1261 Kävlinge";"flerbostadshus";3169
"1261 Kävlinge";"övriga hus";196
"1261 Kävlinge";"specialbostäder";366
"1262 Lomma";"småhus";6087
"1262 Lomma";"flerbostadshus";2773
"1262 Lomma";"övriga hus";130
"1262 Lomma";"specialbostäder";443
"1263 Svedala";"småhus";5756
"1263 Svedala";"flerbostadshus";2032
"1263 Svedala";"övriga hus";139
"1263 Svedala";"specialbostäder";58
"1264 Skurup";"småhus";5148
"1264 Skurup";"flerbostadshus";1255
"1264 Skurup";"övriga hus";55
"1264 Skurup";"specialbostäder";298
"1265 Sjöbo";"småhus";6905
"1265 Sjöbo";"flerbostadshus";1286
"1265 Sjöbo";"övriga hus";141
"1265 Sjöbo";"specialbostäder";250
"1266 Hörby";"småhus";5191
"1266 Hörby";"flerbostadshus";1451
"1266 Hörby";"övriga hus";192
"1266 Hörby";"specialbostäder";330
"1267 Höör";"småhus";5346
"1267 Höör";"flerbostadshus";1366
"1267 Höör";"övriga hus";66
"1267 Höör";"specialbostäder";232
"1270 Tomelilla";"småhus";4504
"1270 Tomelilla";"flerbostadshus";1410
"1270 Tomelilla";"övriga hus";98
"1270 Tomelilla";"specialbostäder";188
"1272 Bromölla";"småhus";4171
"1272 Bromölla";"flerbostadshus";1319
"1272 Bromölla";"övriga hus";64
"1272 Bromölla";"specialbostäder";187
"1273 Osby";"småhus";4134
"1273 Osby";"flerbostadshus";1747
"1273 Osby";"övriga hus";69
"1273 Osby";"specialbostäder";214
"1275 Perstorp";"småhus";1900
"1275 Perstorp";"flerbostadshus";1461
"1275 Perstorp";"övriga hus";49
"1275 Perstorp";"specialbostäder";127
"1276 Klippan";"småhus";5027
"1276 Klippan";"flerbostadshus";2623
"1276 Klippan";"övriga hus";160
"1276 Klippan";"specialbostäder";258
"1277 Åstorp";"småhus";4114
"1277 Åstorp";"flerbostadshus";2106
"1277 Åstorp";"övriga hus";101
"1277 Åstorp";"specialbostäder";151
"1278 Båstad";"småhus";5479
"1278 Båstad";"flerbostadshus";1354
"1278 Båstad";"övriga hus";276
"1278 Båstad";"specialbostäder";220
"1280 Malmö";"småhus";26695
"1280 Malmö";"flerbostadshus";121208
"1280 Malmö";"övriga hus";3054
"1280 Malmö";"specialbostäder";5631
"1281 Lund";"småhus";18122
"1281 Lund";"flerbostadshus";30449
"1281 Lund";"övriga hus";731
"1281 Lund";"specialbostäder";10046
"1282 Landskrona";"småhus";7219
"1282 Landskrona";"flerbostadshus";12193
"1282 Landskrona";"övriga hus";338
"1282 Landskrona";"specialbostäder";541
"1283 Helsingborg";"småhus";21511
"1283 Helsingborg";"flerbostadshus";41310
"1283 Helsingborg";"övriga hus";780
"1283 Helsingborg";"specialbostäder";2611
"1284 Höganäs";"småhus";8087
"1284 Höganäs";"flerbostadshus";2925
"1284 Höganäs";"övriga hus";148
"1284 Höganäs";"specialbostäder";360
"1285 Eslöv";"småhus";8190
"1285 Eslöv";"flerbostadshus";5391
"1285 Eslöv";"övriga hus";234
