"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0187 Vaxholm";"samtliga hushåll";"18+ år";675.9;523.7
"0187 Vaxholm";"samtliga hushåll";"18-29 år";427.2;288.3
"0187 Vaxholm";"samtliga hushåll";"30-49 år";772.8;679.6
"0187 Vaxholm";"samtliga hushåll";"50-64 år";810.6;610.5
"0187 Vaxholm";"samtliga hushåll";"65+ år";487.5;324.0
"0187 Vaxholm";"samtliga hushåll";"65-79 år";547.2;382.4
"0187 Vaxholm";"samtliga hushåll";"80+ år";285.5;202.5
"0188 Norrtälje";"samtliga hushåll";"18+ år";439.0;338.3
"0188 Norrtälje";"samtliga hushåll";"18-29 år";334.4;284.2
"0188 Norrtälje";"samtliga hushåll";"30-49 år";520.5;470.2
"0188 Norrtälje";"samtliga hushåll";"50-64 år";525.7;437.6
"0188 Norrtälje";"samtliga hushåll";"65+ år";345.4;246.2
"0188 Norrtälje";"samtliga hushåll";"65-79 år";387.2;285.2
"0188 Norrtälje";"samtliga hushåll";"80+ år";234.1;167.0
"0191 Sigtuna";"samtliga hushåll";"18+ år";481.2;386.1
"0191 Sigtuna";"samtliga hushåll";"18-29 år";378.0;331.1
"0191 Sigtuna";"samtliga hushåll";"30-49 år";536.6;468.4
"0191 Sigtuna";"samtliga hushåll";"50-64 år";566.4;471.5
"0191 Sigtuna";"samtliga hushåll";"65+ år";355.8;255.6
"0191 Sigtuna";"samtliga hushåll";"65-79 år";384.8;289.7
"0191 Sigtuna";"samtliga hushåll";"80+ år";270.0;173.4
"0192 Nynäshamn";"samtliga hushåll";"18+ år";449.8;362.7
"0192 Nynäshamn";"samtliga hushåll";"18-29 år";366.7;319.5
"0192 Nynäshamn";"samtliga hushåll";"30-49 år";510.1;479.0
"0192 Nynäshamn";"samtliga hushåll";"50-64 år";533.6;456.5
"0192 Nynäshamn";"samtliga hushåll";"65+ år";347.0;256.4
"0192 Nynäshamn";"samtliga hushåll";"65-79 år";379.5;289.5
"0192 Nynäshamn";"samtliga hushåll";"80+ år";250.4;172.3
"0305 Håbo";"samtliga hushåll";"18+ år";527.7;466.2
"0305 Håbo";"samtliga hushåll";"18-29 år";400.6;345.7
"0305 Håbo";"samtliga hushåll";"30-49 år";602.3;569.0
"0305 Håbo";"samtliga hushåll";"50-64 år";607.4;548.1
"0305 Håbo";"samtliga hushåll";"65+ år";389.0;303.4
"0305 Håbo";"samtliga hushåll";"65-79 år";420.7;335.8
"0305 Håbo";"samtliga hushåll";"80+ år";261.3;180.9
"0319 Älvkarleby";"samtliga hushåll";"18+ år";383.5;328.3
"0319 Älvkarleby";"samtliga hushåll";"18-29 år";282.9;239.0
"0319 Älvkarleby";"samtliga hushåll";"30-49 år";452.4;446.7
"0319 Älvkarleby";"samtliga hushåll";"50-64 år";465.3;441.7
"0319 Älvkarleby";"samtliga hushåll";"65+ år";279.3;231.9
"0319 Älvkarleby";"samtliga hushåll";"65-79 år";312.3;268.9
"0319 Älvkarleby";"samtliga hushåll";"80+ år";202.3;154.3
"0330 Knivsta";"samtliga hushåll";"18+ år";587.1;512.0
"0330 Knivsta";"samtliga hushåll";"18-29 år";385.4;312.0
"0330 Knivsta";"samtliga hushåll";"30-49 år";674.1;615.1
"0330 Knivsta";"samtliga hushåll";"50-64 år";669.1;576.2
"0330 Knivsta";"samtliga hushåll";"65+ år";437.1;307.2
"0330 Knivsta";"samtliga hushåll";"65-79 år";485.6;355.6
"0330 Knivsta";"samtliga hushåll";"80+ år";280.5;175.1
"0331 Heby";"samtliga hushåll";"18+ år";394.6;319.8
"0331 Heby";"samtliga hushåll";"18-29 år";338.4;293.9
"0331 Heby";"samtliga hushåll";"30-49 år";461.6;453.8
"0331 Heby";"samtliga hushåll";"50-64 år";495.6;419.4
"0331 Heby";"samtliga hushåll";"65+ år";280.3;214.1
"0331 Heby";"samtliga hushåll";"65-79 år";314.5;258.5
"0331 Heby";"samtliga hushåll";"80+ år";207.4;151.8
"0360 Tierp";"samtliga hushåll";"18+ år";382.2;314.3
"0360 Tierp";"samtliga hushåll";"18-29 år";324.8;281.2
"0360 Tierp";"samtliga hushåll";"30-49 år";465.1;446.1
"0360 Tierp";"samtliga hushåll";"50-64 år";453.0;413.4
"0360 Tierp";"samtliga hushåll";"65+ år";276.0;222.7
"0360 Tierp";"samtliga hushåll";"65-79 år";310.9;256.2
"0360 Tierp";"samtliga hushåll";"80+ år";198.4;154.8
"0380 Uppsala";"samtliga hushåll";"18+ år";462.8;355.7
"0380 Uppsala";"samtliga hushåll";"18-29 år";273.1;218.0
"0380 Uppsala";"samtliga hushåll";"30-49 år";542.4;482.3
"0380 Uppsala";"samtliga hushåll";"50-64 år";593.8;495.6
"0380 Uppsala";"samtliga hushåll";"65+ år";391.4;262.3
"0380 Uppsala";"samtliga hushåll";"65-79 år";432.3;305.5
"0380 Uppsala";"samtliga hushåll";"80+ år";283.5;172.8
"0381 Enköping";"samtliga hushåll";"18+ år";449.2;366.5
"0381 Enköping";"samtliga hushåll";"18-29 år";341.6;288.2
"0381 Enköping";"samtliga hushåll";"30-49 år";537.8;498.1
"0381 Enköping";"samtliga hushåll";"50-64 år";535.3;478.5
"0381 Enköping";"samtliga hushåll";"65+ år";334.0;243.3
"0381 Enköping";"samtliga hushåll";"65-79 år";379.5;284.8
"0381 Enköping";"samtliga hushåll";"80+ år";224.8;158.8
"0382 Östhammar";"samtliga hushåll";"18+ år";415.9;345.3
"0382 Östhammar";"samtliga hushåll";"18-29 år";347.3;315.0
"0382 Östhammar";"samtliga hushåll";"30-49 år";501.2;494.6
"0382 Östhammar";"samtliga hushåll";"50-64 år";505.8;449.2
"0382 Östhammar";"samtliga hushåll";"65+ år";305.2;231.5
"0382 Östhammar";"samtliga hushåll";"65-79 år";347.8;280.5
"0382 Östhammar";"samtliga hushåll";"80+ år";200.9;155.4
"0428 Vingåker";"samtliga hushåll";"18+ år";386.2;311.7
"0428 Vingåker";"samtliga hushåll";"18-29 år";289.0;252.8
"0428 Vingåker";"samtliga hushåll";"30-49 år";448.5;444.7
"0428 Vingåker";"samtliga hushåll";"50-64 år";498.9;411.8
"0428 Vingåker";"samtliga hushåll";"65+ år";280.7;233.4
"0428 Vingåker";"samtliga hushåll";"65-79 år";314.7;264.5
"0428 Vingåker";"samtliga hushåll";"80+ år";194.8;156.7
"0461 Gnesta";"samtliga hushåll";"18+ år";463.5;357.4
"0461 Gnesta";"samtliga hushåll";"18-29 år";351.9;299.0
"0461 Gnesta";"samtliga hushåll";"30-49 år";503.0;477.8
"0461 Gnesta";"samtliga hushåll";"50-64 år";501.3;435.7
"0461 Gnesta";"samtliga hushåll";"65+ år";425.7;255.7
"0461 Gnesta";"samtliga hushåll";"65-79 år";483.6;292.4
"0461 Gnesta";"samtliga hushåll";"80+ år";242.5;163.8
"0480 Nyköping";"samtliga hushåll";"18+ år";426.7;341.3
"0480 Nyköping";"samtliga hushåll";"18-29 år";318.2;274.8
"0480 Nyköping";"samtliga hushåll";"30-49 år";490.7;469.2
"0480 Nyköping";"samtliga hushåll";"50-64 år";511.3;450.6
"0480 Nyköping";"samtliga hushåll";"65+ år";346.8;244.5
"0480 Nyköping";"samtliga hushåll";"65-79 år";397.6;285.8
"0480 Nyköping";"samtliga hushåll";"80+ år";231.8;167.0
"0481 Oxelösund";"samtliga hushåll";"18+ år";375.3;310.6
"0481 Oxelösund";"samtliga hushåll";"18-29 år";293.0;256.1
"0481 Oxelösund";"samtliga hushåll";"30-49 år";455.6;449.5
"0481 Oxelösund";"samtliga hushåll";"50-64 år";450.4;414.8
"0481 Oxelösund";"samtliga hushåll";"65+ år";290.3;235.0
"0481 Oxelösund";"samtliga hushåll";"65-79 år";316.0;263.2
"0481 Oxelösund";"samtliga hushåll";"80+ år";229.5;176.2
"0482 Flen";"samtliga hushåll";"18+ år";372.0;301.3
"0482 Flen";"samtliga hushåll";"18-29 år";277.8;243.8
"0482 Flen";"samtliga hushåll";"30-49 år";423.8;400.8
