"0885 Borgholm";7.85;9.34;4.42;8.68;5.95;8.33;..;..;3.70;2.80;2.07;2.62;7.68;8.71;9.93;4.74
"0980 Gotland";7.40;6.60;8.75;7.12;7.47;6.98;..;..;6.92;7.71;4.87;4.80;3.84;4.25;7.05;4.18
"1060 Olofstr�m";2.83;5.81;3.52;1.48;3.07;2.45;..;..;5.98;5.95;6.15;3.07;4.25;8.65;3.21;6.26
"1080 Karlskrona";6.98;5.53;3.80;3.73;1.28;4.42;..;..;7.23;7.26;2.38;6.02;4.70;7.05;6.33;5.46
"1081 Ronneby";9.23;9.37;6.81;6.98;9.58;4.39;..;..;2.73;6.64;4.94;3.66;5.84;5.70;4.84;6.67
"1082 Karlshamn";2.80;3.32;5.36;4.11;2.62;7.85;..;..;7.54;6.78;8.30;7.37;7.02;2.69;8.33;7.09
"1083 S�lvesborg";0.62;4.67;10.00;0.51;0.96;0.65;..;..;2.69;0.51;0.41;1.10;0.69;5.39;0.48;3.56
"1214 Sval�v";8.78;8.13;9.03;3.70;7.30;8.30;..;..;1.59;3.73;5.74;7.19;4.53;4.04;5.12;7.99
"1230 Staffanstorp";4.77;7.92;1.03;8.85;3.52;0.41;..;..;6.33;8.58;8.47;8.16;8.23;3.63;9.30;7.95
"1231 Burl�v";1.28;7.85;7.30;5.39;6.60;8.23;..;..;7.64;6.43;8.26;5.39;8.16;2.14;7.16;3.73
"1233 Vellinge";2.28;2.42;3.14;2.97;2.31;4.32;..;..;2.87;2.24;1.03;4.08;1.10;8.92;6.64;8.68
"1256 �stra G�inge";5.53;6.92;7.26;2.73;1.00;4.56;..;..;5.84;2.35;2.52;6.64;7.37;6.81;8.68;7.50
"1257 �rkelljunga";0.58;0.31;2.66;0.79;0.17;0.13;..;..;1.73;2.45;4.29;2.80;3.46;4.22;8.30;6.12
"1260 Bjuv";1.45;7.05;6.43;1.41;4.25;4.70;..;..;4.70;3.35;5.32;1.34;0.65;3.91;8.85;1.90
"1261 K�vlinge";4.35;1.14;5.39;0.93;4.70;1.97;..;..;7.71;2.28;8.61;1.97;2.42;5.57;2.66;5.15
"1262 Lomma";1.73;5.36;6.92;4.91;8.33;9.30;..;..;4.56;0.44;4.42;0.51;2.00;3.01;0.96;2.80
"1263 Svedala";4.39;1.79;9.68;3.39;0.34;3.56;..;..;7.57;2.21;7.33;6.36;3.25;8.09;6.88;4.01
"1264 Skurup";8.33;2.80;9.06;4.53;6.67;6.85;..;..;5.29;8.99;5.81;8.26;5.60;0.76;8.13;7.30
"1265 Sj�bo";6.60;8.06;4.53;3.07;3.84;2.87;..;..;5.60;2.83;8.13;1.79;5.91;3.28;9.68;5.64
"1266 H�rby";1.59;8.92;2.56;8.47;9.48;5.29;..;..;2.24;1.86;6.60;4.74;3.94;0.89;8.92;3.77
"1267 H��r";2.38;5.60;7.54;1.93;3.59;8.65;..;..;5.57;6.22;5.67;1.73;1.73;7.85;1.45;0.76
"1270 Tomelilla";8.99;8.75;7.61;9.16;9.61;8.16;..;..;..;..;..;..;..;..;..;..
"1272 Brom�lla";2.66;7.40;7.64;8.06;3.14;1.79;..;..;2.94;1.62;4.53;2.83;0.79;6.12;7.99;6.74
"1273 Osby";2.11;5.25;7.71;1.55;0.27;3.73;..;..;2.42;7.37;5.77;2.49;1.41;4.53;5.01;3.11
"1275 Perstorp";6.08;1.38;8.20;0.31;4.49;8.85;..;..;4.15;0.62;2.31;0.69;2.52;9.89;1.90;0.83
"1276 Klippan";3.94;7.64;8.61;7.50;7.75;8.75;..;..;9.51;9.30;9.75;5.60;7.33;9.27;7.78;8.09
"1277 �storp";7.30;7.95;9.20;3.49;3.25;8.96;..;..;7.05;2.94;4.15;4.94;7.82;3.80;3.77;1.76
"1278 B�stad";2.42;1.07;3.07;1.17;4.53;6.53;..;..;8.58;6.33;9.20;7.50;9.68;8.20;4.74;5.12
"1280 Malm�";6.64;7.54;5.60;6.74;5.46;6.88;..;..;5.46;5.25;4.91;5.74;5.39;4.49;7.82;5.22
"1281 Lund";7.47;7.19;4.84;7.23;6.02;4.91;..;..;1.97;6.47;1.66;4.67;5.22;7.09;2.11;2.97
"1282 Landskrona";6.71;6.43;2.87;4.87;5.12;5.98;..;..;9.10;6.12;9.65;2.90;8.54;8.02;9.58;6.50
"1283 Helsingborg";5.05;4.91;6.29;5.74;5.91;6.15;..;..;5.39;3.21;6.05;2.42;2.83;5.12;5.57;5.32
"1284 H�gan�s";4.56;3.25;2.59;2.62;2.69;9.20;..;..;2.80;1.79;7.57;3.77;8.85;2.38;8.23;9.27
"1285 Esl�v";1.62;1.45;4.35;2.76;0.79;8.82;..;..;2.83;1.14;4.18;2.00;3.21;4.84;5.60;1.86
"1286 Ystad";0.76;1.17;2.45;2.14;1.45;1.76;..;..;3.39;5.70;9.34;1.59;3.49;7.54;7.30;5.98
"1287 Trelleborg";7.99;6.26;8.54;2.38;5.36;3.25;..;..;7.92;4.32;9.13;5.84;4.49;9.48;8.96;8.16
"1290 Kristianstad";9.16;7.57;8.58;3.42;5.81;4.04;..;..;4.80;5.01;6.64;4.39;5.19;2.21;7.71;5.88
"1291 Simrishamn";8.40;4.56;9.72;3.21;7.33;7.54;..;..;8.09;4.53;6.67;6.08;7.26;6.22;9.65;9.93
"1292 �ngelholm";4.18;7.99;7.92;4.60;5.19;4.87;..;..;9.65;6.67;6.92;4.35;7.88;7.50;2.83;7.47
"1293 H�ssleholm";4.22;2.69;4.63;4.04;2.11;4.84;..;..;2.00;5.64;4.08;5.32;7.23;7.95;4.67;5.08
"1315 Hylte";1.00;5.01;5.15;0.86;7.71;7.95;..;..;4.77;4.56;0.51;3.63;3.73;1.83;2.97;2.59
"1380 Halmstad";5.57;4.32;8.30;3.66;3.28;2.07;..;..;2.62;4.91;3.56;5.46;6.74;6.71;4.91;7.82
"1381 Laholm";5.64;4.29;6.02;6.36;6.57;9.44;..;..;7.78;5.57;9.72;1.28;3.18;1.07;7.19;8.13
"1382 Falkenberg";4.84;4.18;2.76;5.15;4.29;3.70;..;..;8.78;8.92;7.16;6.40;5.08;8.82;5.36;9.89
"1383 Varberg";2.56;5.57;6.74;2.66;5.98;7.71;..;..;2.21;5.36;0.83;3.87;1.90;4.87;3.97;8.58
"1384 Kungsbacka";4.60;4.46;7.85;2.52;2.45;6.60;..;..;3.87;4.25;6.08;2.56;4.11;5.08;4.11;8.89
"1401 H�rryda";5.46;6.47;3.49;5.77;7.26;2.83;..;..;3.66;4.77;4.84;4.56;4.32;6.08;4.08;6.36
"1402 Partille";1.83;1.62;2.17;1.90;1.79;1.69;..;..;1.90;3.80;3.14;2.76;2.97;4.94;2.14;2.17
"1407 �cker�";4.53;0.00;0.38;3.56;0.65;0.20;..;..;..;..;..;..;..;..;..;..
"1415 Stenungsund";6.33;6.29;6.05;6.05;1.62;6.47;..;..;4.01;3.77;3.04;3.42;6.57;6.95;3.42;2.94
"1419 Tj�rn";6.12;2.35;5.70;6.85;1.55;3.35;..;..;8.89;7.33;6.78;6.26;7.75;7.92;5.64;8.82
"1421 Orust";1.34;2.56;7.47;2.07;1.90;9.58;..;..;7.33;4.42;3.59;8.51;5.64;7.88;9.13;9.20
"1427 Soten�s";0.00;1.24;2.42;1.07;1.97;5.77;..;..;2.28;3.32;7.54;0.48;2.14;6.19;4.39;9.16
"1430 Munkedal";6.47;8.58;8.02;9.51;8.78;7.99;..;..;1.31;1.21;2.42;0.20;0.51;8.47;0.27;8.85
"1435 Tanum";7.37;9.72;6.78;7.95;8.65;3.18;..;..;3.32;4.60;1.17;7.64;9.61;6.78;1.17;7.92
"1438 Dals-Ed";9.96;9.44;3.97;9.03;7.85;7.88;..;..;6.53;6.08;9.93;9.72;7.30;0.48;9.79;9.61
"1439 F�rgelanda";0.00;5.15;0.27;0.58;0.00;7.82;..;..;8.13;4.98;8.58;7.82;8.09;0.24;4.46;9.75
"1440 Ale";7.95;5.88;8.78;6.22;3.42;1.83;..;..;8.82;7.61;8.20;8.23;8.71;5.88;7.57;6.08
"1441 Lerum";7.09;5.05;7.68;7.71;4.67;5.05;..;..;8.44;7.85;4.22;7.02;8.13;4.56;4.70;6.40
